Game,Game Time,ESPN Spread,FanDuel,BetMGM,DraftKings,Consensus,Edge,Recommendation,Best Line,Strategy,Why
 @ BYU,02:30 AM ET,+4.9,-8.5,-7.5,-7.5,-7.8,-12.7,Bet  -7.8 (ESPN favors favorite with 12.7 pt edge),draftkings: -7.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Vanderbilt,01:00 AM ET,+19.7,-24.5,N/A,N/A,-24.5,-44.2,Bet  -24.5 (ESPN favors favorite with 44.2 pt edge),fanduel: -24.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ St. John's,11:30 PM ET,+22.3,N/A,N/A,-24.5,-24.5,-46.8,Bet  -24.5 (ESPN favors favorite with 46.8 pt edge),draftkings: -24.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Tennessee,12:00 AM ET,+24.6,-27.5,N/A,N/A,-27.5,-52.1,Bet  -27.5 (ESPN favors favorite with 52.1 pt edge),fanduel: -27.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Utah,02:00 AM ET,+13.2,-12.5,N/A,N/A,-12.5,-25.7,Bet  -12.5 (ESPN favors favorite with 25.7 pt edge),fanduel: -12.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Wisconsin,01:00 AM ET,+21.9,-20.5,N/A,N/A,-20.5,-42.4,Bet  -20.5 (ESPN favors favorite with 42.4 pt edge),fanduel: -20.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Michigan,12:00 AM ET,+26.2,-20.5,N/A,N/A,-20.5,-46.7,Bet  -20.5 (ESPN favors favorite with 46.7 pt edge),fanduel: -20.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ UCLA,03:30 AM ET,+28.9,-28.5,N/A,N/A,-28.5,-57.4,Bet  -28.5 (ESPN favors favorite with 57.4 pt edge),fanduel: -28.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ UCF,01:00 AM ET,+14.7,-12.5,N/A,N/A,-12.5,-27.2,Bet  -12.5 (ESPN favors favorite with 27.2 pt edge),fanduel: -12.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Houston,01:00 AM ET,+35.9,-36.5,N/A,N/A,-36.5,-72.4,Bet  -36.5 (ESPN favors favorite with 72.4 pt edge),fanduel: -36.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Pittsburgh,12:00 AM ET,+19.2,-13.5,N/A,N/A,-13.5,-32.7,Bet  -13.5 (ESPN favors favorite with 32.7 pt edge),fanduel: -13.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Drake,09:00 PM ET,+5.3,-9.5,N/A,-9.5,-9.5,-14.8,Bet  -9.5 (ESPN favors favorite with 14.8 pt edge),fanduel: -9.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Louisville,02:00 AM ET,+34.6,-32.5,N/A,N/A,-32.5,-67.1,Bet  -32.5 (ESPN favors favorite with 67.1 pt edge),fanduel: -32.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Colorado,02:00 AM ET,+13.7,-13.5,N/A,N/A,-13.5,-27.2,Bet  -13.5 (ESPN favors favorite with 27.2 pt edge),fanduel: -13.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ USC,02:30 AM ET,+25.6,-23.5,N/A,N/A,-23.5,-49.1,Bet  -23.5 (ESPN favors favorite with 49.1 pt edge),fanduel: -23.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Kansas,01:00 AM ET,+28.2,-29.5,N/A,N/A,-29.5,-57.7,Bet  -29.5 (ESPN favors favorite with 57.7 pt edge),fanduel: -29.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Maryland,11:30 PM ET,+36.4,-29.5,N/A,N/A,-29.5,-65.9,Bet  -29.5 (ESPN favors favorite with 65.9 pt edge),fanduel: -29.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ North Carolina,12:00 AM ET,+24.8,N/A,N/A,-1.5,-1.5,-26.3,Bet  -1.5 (ESPN favors favorite with 26.3 pt edge),draftkings: -1.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Virginia,12:00 AM ET,+23.8,-24.5,N/A,N/A,-24.5,-48.3,Bet  -24.5 (ESPN favors favorite with 48.3 pt edge),fanduel: -24.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
 @ Buffalo,02:00 AM ET,+1.3,-13.5,N/A,N/A,-13.5,-14.8,Bet  -13.5 (ESPN favors favorite with 14.8 pt edge),fanduel: -13.5,November All Favorites,All conferences favorite with 3+ point ESPN edge
