date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/07/2023,Baylor,88,Auburn,82,-1,1.05,,,,,-0.48,2.5,-0.37,1,1.68,2.11,,1,3,,,,,,,,3.02,,,-0.9
11/07/2023,Creighton,105,Florida A&M,54,36,35.5,,,,,30.61,31.5,42.81,36,4.48,39.02,,0,36.6,,,,,,,,32.48,,,31
11/07/2023,DePaul,74,IPFW,82,11,11.61,,,,,10.47,13,11.76,12,2.8,15.51,,0,6.3,,,,,,,,12.82,,,12.4
11/07/2023,Georgetown,94,Le Moyne,57,18.5,24.3,,,,,,19.5,17.05,,7.53,22.1,,0,36.8,,,,,,,,24.86,,,20.7
11/07/2023,Indiana,69,Florida Gulf Coast,63,11.5,17.53,,,,,12.51,13,23.24,19,3.37,17.35,,0,17.4,,,,,,,,18.38,,,14.8
11/07/2023,Iowa,110,North Dakota,68,19.5,23.45,,,,,23.82,19,28.06,18,3.33,24.08,,0,22.4,,,,,,,,26.49,,,21.3
11/07/2023,La Salle,67,Drexel,61,-3,0.65,,,,,0.48,-1,2.17,2,1.54,-1.55,,0,0.9,,,,,,,,1.83,,,-1.3
11/07/2023,Maryland,68,Mount St. Marys,53,20.5,23.08,,,,,16.91,22,25.37,22,3.02,26.11,,0,23.6,,,,,,,,23.75,,,23.8
11/07/2023,Massachusetts,92,Albany-NY,71,9,12.35,,,,,11.5,9,13.03,11,0.96,12.03,,0,13.8,,,,,,,,12.18,,,12.9
11/07/2023,Michigan,99,NC Asheville,74,11,16.34,,,,,11.53,12.5,22.82,13,4.48,20.19,,0,12.5,,,,,,,,19.72,,,14.6
11/07/2023,Nevada,77,CS Sacramento,63,13,16.07,,,,,18.33,12.5,17.27,12,2.1,15.39,,0,16.6,,,,,,,,15.41,,,17.5
